txn_id,property_id,date,account_code,account_name,category,amount,description
T-50051,P001,2025-09-05,6100,Repairs & Maintenance Expense,OpEx,-1347,Repairs & Maintenance — 2025-09
T-50052,P001,2025-09-11,6600,Landscaping Expense,OpEx,-833,Landscaping — 2025-09
T-50053,P001,2025-09-16,6700,Security Expense,OpEx,-1108,Security — 2025-09
T-50054,P001,2025-09-25,6400,Property Tax Expense,OpEx,-8530,Property Taxes — 2025-09
T-50055,P001,2025-09-14,6800,Admin Expense,OpEx,-2273,Administrative — 2025-09
T-50056,P001,2025-09-08,6200,Utilities Expense,OpEx,-8575,Utilities — 2025-09
T-50057,P001,2025-10-16,4100,Base Rent Income,Revenue,361949,Base Rent Income — 2025-10
T-50058,P001,2025-10-28,4200,CAM Recovery Income,Revenue,60234,CAM Recovery Income — 2025-10
T-50059,P001,2025-10-16,4300,Other Income,Revenue,2885,Other Income — 2025-10
T-50060,P001,2025-10-23,6800,Admin Expense,OpEx,-577,Administrative — 2025-10
T-50061,P001,2025-10-05,6500,Management Fee Expense,OpEx,-9598,Management Fees — 2025-10
T-50062,P001,2025-10-05,6700,Security Expense,OpEx,-5167,Security — 2025-10
T-50063,P001,2025-10-14,6300,Insurance Expense,OpEx,-2242,Insurance — 2025-10
T-50064,P001,2025-10-05,6600,Landscaping Expense,OpEx,-2249,Landscaping — 2025-10
T-50065,P001,2025-11-25,4100,Base Rent Income,Revenue,341658,Base Rent Income — 2025-11
T-50066,P001,2025-11-21,4200,CAM Recovery Income,Revenue,56275,CAM Recovery Income — 2025-11
T-50067,P001,2025-11-25,4300,Other Income,Revenue,6327,Other Income — 2025-11
T-50068,P001,2025-11-07,6600,Landscaping Expense,OpEx,-2384,Landscaping — 2025-11
T-50069,P001,2025-11-18,6200,Utilities Expense,OpEx,-7986,Utilities — 2025-11
T-50070,P001,2025-11-01,6500,Management Fee Expense,OpEx,-10171,Management Fees — 2025-11
T-50071,P001,2025-11-23,6800,Admin Expense,OpEx,-8872,Administrative — 2025-11
T-50072,P001,2025-11-06,6400,Property Tax Expense,OpEx,-5860,Property Taxes — 2025-11
T-50073,P001,2025-11-25,6800,Admin Expense,OpEx,-4734,Administrative — 2025-11
T-50074,P001,2025-11-14,6700,Security Expense,OpEx,-8477,Security — 2025-11
T-50075,P001,2025-11-09,6200,Utilities Expense,OpEx,-8766,Utilities — 2025-11
T-50076,P001,2025-12-09,4100,Base Rent Income,Revenue,378115,Base Rent Income — 2025-12
T-50077,P001,2025-12-11,4200,CAM Recovery Income,Revenue,58068,CAM Recovery Income — 2025-12
T-50078,P001,2025-12-27,4300,Other Income,Revenue,5835,Other Income — 2025-12
T-50079,P001,2025-12-06,6600,Landscaping Expense,OpEx,-7366,Landscaping — 2025-12
T-50080,P001,2025-12-03,6600,Landscaping Expense,OpEx,-7794,Landscaping — 2025-12
T-50081,P001,2025-12-11,6300,Insurance Expense,OpEx,-7355,Insurance — 2025-12
T-50082,P001,2025-12-11,6600,Landscaping Expense,OpEx,-6885,Landscaping — 2025-12
T-50083,P001,2025-12-03,6800,Admin Expense,OpEx,-3028,Administrative — 2025-12
T-50084,P001,2025-12-10,6600,Landscaping Expense,OpEx,-9228,Landscaping — 2025-12
T-50085,P001,2025-12-20,6500,Management Fee Expense,OpEx,-787,Management Fees — 2025-12
T-50086,P001,2025-12-19,6700,Security Expense,OpEx,-10807,Security — 2025-12
T-50087,P001,2025-12-12,6200,Utilities Expense,OpEx,-6263,Utilities — 2025-12
T-50088,P001,2025-12-14,6100,Repairs & Maintenance Expense,OpEx,-7983,Repairs & Maintenance — 2025-12
T-50089,P001,2026-01-20,4100,Base Rent Income,Revenue,337854,Base Rent Income — 2026-01
T-50090,P001,2026-01-03,4200,CAM Recovery Income,Revenue,52099,CAM Recovery Income — 2026-01
T-50091,P001,2026-01-17,4300,Other Income,Revenue,5677,Other Income — 2026-01
T-50092,P001,2026-01-19,6100,Repairs & Maintenance Expense,OpEx,-8619,Repairs & Maintenance — 2026-01
T-50093,P001,2026-01-10,6600,Landscaping Expense,OpEx,-3237,Landscaping — 2026-01
T-50094,P001,2026-01-04,6200,Utilities Expense,OpEx,-8432,Utilities — 2026-01
T-50095,P001,2026-01-10,6800,Admin Expense,OpEx,-3903,Administrative — 2026-01
T-50096,P001,2026-01-02,6100,Repairs & Maintenance Expense,OpEx,-3831,Repairs & Maintenance — 2026-01
T-50097,P001,2026-01-27,6400,Property Tax Expense,OpEx,-7037,Property Taxes — 2026-01
T-50098,P001,2026-01-01,6800,Admin Expense,OpEx,-5165,Administrative — 2026-01
T-50099,P001,2026-02-24,4100,Base Rent Income,Revenue,340320,Base Rent Income — 2026-02
T-50100,P001,2026-02-17,4200,CAM Recovery Income,Revenue,59601,CAM Recovery Income — 2026-02
T-50101,P001,2026-02-17,4300,Other Income,Revenue,2916,Other Income — 2026-02
T-50102,P001,2026-02-20,6500,Management Fee Expense,OpEx,-8108,Management Fees — 2026-02
T-50103,P001,2026-02-26,6300,Insurance Expense,OpEx,-10354,Insurance — 2026-02
T-50104,P001,2026-02-01,6500,Management Fee Expense,OpEx,-8783,Management Fees — 2026-02
T-50105,P001,2026-02-17,6500,Management Fee Expense,OpEx,-8403,Management Fees — 2026-02
T-50106,P001,2026-02-12,6200,Utilities Expense,OpEx,-10149,Utilities — 2026-02
T-50107,P001,2026-02-14,6300,Insurance Expense,OpEx,-7550,Insurance — 2026-02
T-50108,P001,2026-02-08,6800,Admin Expense,OpEx,-1536,Administrative — 2026-02
T-50109,P001,2026-02-19,6700,Security Expense,OpEx,-5609,Security — 2026-02
T-50110,P001,2026-02-19,6100,Repairs & Maintenance Expense,OpEx,-8538,Repairs & Maintenance — 2026-02
T-50111,P001,2026-02-10,6800,Admin Expense,OpEx,-1392,Administrative — 2026-02
T-50112,P001,2026-03-05,4100,Base Rent Income,Revenue,365360,Base Rent Income — 2026-03
T-50113,P001,2026-03-03,4200,CAM Recovery Income,Revenue,56600,CAM Recovery Income — 2026-03
T-50114,P001,2026-03-16,4300,Other Income,Revenue,7839,Other Income — 2026-03
T-50115,P001,2026-03-16,6300,Insurance Expense,OpEx,-533,Insurance — 2026-03
T-50116,P001,2026-03-25,6200,Utilities Expense,OpEx,-667,Utilities — 2026-03
T-50117,P001,2026-03-09,6600,Landscaping Expense,OpEx,-4372,Landscaping — 2026-03
T-50118,P001,2026-03-15,6400,Property Tax Expense,OpEx,-5439,Property Taxes — 2026-03
T-50119,P001,2026-03-09,6200,Utilities Expense,OpEx,-1507,Utilities — 2026-03
T-50120,P001,2026-03-05,6200,Utilities Expense,OpEx,-4445,Utilities — 2026-03
T-50121,P001,2026-03-28,6400,Property Tax Expense,OpEx,-2979,Property Taxes — 2026-03
T-50122,P001,2026-03-14,6100,Repairs & Maintenance Expense,OpEx,-7532,Repairs & Maintenance — 2026-03
T-50123,P001,2026-03-12,6300,Insurance Expense,OpEx,-3081,Insurance — 2026-03
T-50124,P001,2026-03-02,6700,Security Expense,OpEx,-6711,Security — 2026-03
T-50125,P001,2026-04-23,4100,Base Rent Income,Revenue,336414,Base Rent Income — 2026-04
T-50126,P001,2026-04-21,4200,CAM Recovery Income,Revenue,59184,CAM Recovery Income — 2026-04
T-50127,P001,2026-04-20,4300,Other Income,Revenue,2078,Other Income — 2026-04
T-50128,P001,2026-04-06,6400,Property Tax Expense,OpEx,-8168,Property Taxes — 2026-04
T-50129,P001,2026-04-09,6600,Landscaping Expense,OpEx,-4765,Landscaping — 2026-04
T-50130,P001,2026-04-17,6700,Security Expense,OpEx,-7423,Security — 2026-04
T-50131,P001,2026-04-15,6800,Admin Expense,OpEx,-3927,Administrative — 2026-04
T-50132,P001,2026-04-23,6500,Management Fee Expense,OpEx,-9149,Management Fees — 2026-04
T-50133,P001,2026-04-22,6100,Repairs & Maintenance Expense,OpEx,-940,Repairs & Maintenance — 2026-04
T-50134,P001,2026-04-07,6800,Admin Expense,OpEx,-5576,Administrative — 2026-04
T-50135,P001,2026-04-04,6700,Security Expense,OpEx,-4077,Security — 2026-04
T-50136,P001,2026-04-02,6400,Property Tax Expense,OpEx,-4386,Property Taxes — 2026-04
T-50137,P001,2026-04-02,6600,Landscaping Expense,OpEx,-4472,Landscaping — 2026-04
T-50138,P001,2026-04-03,6600,Landscaping Expense,OpEx,-3904,Landscaping — 2026-04
T-50139,P002,2025-05-07,4100,Base Rent Income,Revenue,220347,Base Rent Income — 2025-05
T-50140,P002,2025-05-16,4200,CAM Recovery Income,Revenue,38104,CAM Recovery Income — 2025-05
T-50141,P002,2025-05-21,4300,Other Income,Revenue,1388,Other Income — 2025-05
T-50142,P002,2025-05-11,6400,Property Tax Expense,OpEx,-7147,Property Taxes — 2025-05
T-50143,P002,2025-05-20,6600,Landscaping Expense,OpEx,-1059,Landscaping — 2025-05
T-50144,P002,2025-05-04,6400,Property Tax Expense,OpEx,-2951,Property Taxes — 2025-05
T-50145,P002,2025-05-19,6200,Utilities Expense,OpEx,-2927,Utilities — 2025-05
T-50146,P002,2025-05-15,6200,Utilities Expense,OpEx,-7047,Utilities — 2025-05
T-50147,P002,2025-05-25,6200,Utilities Expense,OpEx,-8750,Utilities — 2025-05
T-50148,P002,2025-05-08,6800,Admin Expense,OpEx,-7905,Administrative — 2025-05
T-50149,P002,2025-06-15,4100,Base Rent Income,Revenue,221314,Base Rent Income — 2025-06
T-50150,P002,2025-06-03,4200,CAM Recovery Income,Revenue,32983,CAM Recovery Income — 2025-06
T-50151,P002,2025-06-24,4300,Other Income,Revenue,3926,Other Income — 2025-06
T-50152,P002,2025-06-17,6800,Admin Expense,OpEx,-1798,Administrative — 2025-06
T-50153,P002,2025-06-09,6200,Utilities Expense,OpEx,-3869,Utilities — 2025-06
T-50154,P002,2025-06-28,6500,Management Fee Expense,OpEx,-5846,Management Fees — 2025-06
T-50155,P002,2025-06-20,6300,Insurance Expense,OpEx,-2818,Insurance — 2025-06
T-50156,P002,2025-06-21,6800,Admin Expense,OpEx,-3433,Administrative — 2025-06
T-50157,P002,2025-06-11,6100,Repairs & Maintenance Expense,OpEx,-8532,Repairs & Maintenance — 2025-06
T-50158,P002,2025-06-11,6100,Repairs & Maintenance Expense,OpEx,-6105,Repairs & Maintenance — 2025-06
T-50159,P002,2025-06-26,6800,Admin Expense,OpEx,-3319,Administrative — 2025-06
T-50160,P002,2025-06-17,6600,Landscaping Expense,OpEx,-3508,Landscaping — 2025-06
T-50161,P002,2025-07-26,4100,Base Rent Income,Revenue,237930,Base Rent Income — 2025-07
T-50162,P002,2025-07-07,4200,CAM Recovery Income,Revenue,37236,CAM Recovery Income — 2025-07
T-50163,P002,2025-07-25,4300,Other Income,Revenue,2244,Other Income — 2025-07
T-50164,P002,2025-07-08,6300,Insurance Expense,OpEx,-1045,Insurance — 2025-07
T-50165,P002,2025-07-09,6400,Property Tax Expense,OpEx,-2212,Property Taxes — 2025-07
T-50166,P002,2025-07-18,6600,Landscaping Expense,OpEx,-6334,Landscaping — 2025-07
T-50167,P002,2025-07-22,6500,Management Fee Expense,OpEx,-9136,Management Fees — 2025-07
T-50168,P002,2025-07-08,6100,Repairs & Maintenance Expense,OpEx,-8358,Repairs & Maintenance — 2025-07
T-50169,P002,2025-07-01,6700,Security Expense,OpEx,-7809,Security — 2025-07
T-50170,P002,2025-07-17,6200,Utilities Expense,OpEx,-6680,Utilities — 2025-07
T-50171,P002,2025-08-14,4100,Base Rent Income,Revenue,239677,Base Rent Income — 2025-08
T-50172,P002,2025-08-25,4200,CAM Recovery Income,Revenue,35158,CAM Recovery Income — 2025-08
T-50173,P002,2025-08-12,4300,Other Income,Revenue,3591,Other Income — 2025-08
T-50174,P002,2025-08-03,6300,Insurance Expense,OpEx,-7185,Insurance — 2025-08
T-50175,P002,2025-08-20,6500,Management Fee Expense,OpEx,-7751,Management Fees — 2025-08
T-50176,P002,2025-08-28,6700,Security Expense,OpEx,-1222,Security — 2025-08
T-50177,P002,2025-08-07,6100,Repairs & Maintenance Expense,OpEx,-2787,Repairs & Maintenance — 2025-08
T-50178,P002,2025-08-15,6600,Landscaping Expense,OpEx,-9926,Landscaping — 2025-08
T-50179,P002,2025-08-11,6700,Security Expense,OpEx,-889,Security — 2025-08
T-50180,P002,2025-08-01,6200,Utilities Expense,OpEx,-9347,Utilities — 2025-08
T-50181,P002,2025-08-06,6400,Property Tax Expense,OpEx,-5092,Property Taxes — 2025-08
T-50182,P002,2025-09-22,4100,Base Rent Income,Revenue,206549,Base Rent Income — 2025-09
T-50183,P002,2025-09-11,4200,CAM Recovery Income,Revenue,34581,CAM Recovery Income — 2025-09
T-50184,P002,2025-09-02,4300,Other Income,Revenue,7906,Other Income — 2025-09
T-50185,P002,2025-09-25,6600,Landscaping Expense,OpEx,-2099,Landscaping — 2025-09
T-50186,P002,2025-09-19,6700,Security Expense,OpEx,-373,Security — 2025-09
T-50187,P002,2025-09-09,6700,Security Expense,OpEx,-8310,Security — 2025-09
T-50188,P002,2025-09-03,6700,Security Expense,OpEx,-1997,Security — 2025-09
T-50189,P002,2025-09-06,6400,Property Tax Expense,OpEx,-2718,Property Taxes — 2025-09
T-50190,P002,2025-09-27,6800,Admin Expense,OpEx,-1407,Administrative — 2025-09
T-50191,P002,2025-10-15,4100,Base Rent Income,Revenue,221995,Base Rent Income — 2025-10
T-50192,P002,2025-10-19,4200,CAM Recovery Income,Revenue,32713,CAM Recovery Income — 2025-10
T-50193,P002,2025-10-04,4300,Other Income,Revenue,6545,Other Income — 2025-10
T-50194,P002,2025-10-23,6600,Landscaping Expense,OpEx,-3801,Landscaping — 2025-10
T-50195,P002,2025-10-06,6200,Utilities Expense,OpEx,-3937,Utilities — 2025-10
T-50196,P002,2025-10-28,6800,Admin Expense,OpEx,-8635,Administrative — 2025-10
T-50197,P002,2025-10-06,6700,Security Expense,OpEx,-2483,Security — 2025-10
T-50198,P002,2025-10-28,6100,Repairs & Maintenance Expense,OpEx,-770,Repairs & Maintenance — 2025-10
T-50199,P002,2025-10-22,6100,Repairs & Maintenance Expense,OpEx,-4087,Repairs & Maintenance — 2025-10
T-50200,P002,2025-11-15,4100,Base Rent Income,Revenue,238573,Base Rent Income — 2025-11
T-50201,P002,2025-11-19,4200,CAM Recovery Income,Revenue,32488,CAM Recovery Income — 2025-11
T-50202,P002,2025-11-26,4300,Other Income,Revenue,5335,Other Income — 2025-11
T-50203,P002,2025-11-17,6300,Insurance Expense,OpEx,-5816,Insurance — 2025-11
T-50204,P002,2025-11-11,6200,Utilities Expense,OpEx,-3756,Utilities — 2025-11
T-50205,P002,2025-11-28,6200,Utilities Expense,OpEx,-8004,Utilities — 2025-11
T-50206,P002,2025-11-01,6100,Repairs & Maintenance Expense,OpEx,-5462,Repairs & Maintenance — 2025-11
T-50207,P002,2025-11-01,6100,Repairs & Maintenance Expense,OpEx,-7624,Repairs & Maintenance — 2025-11
T-50208,P002,2025-11-19,6800,Admin Expense,OpEx,-7684,Administrative — 2025-11
T-50209,P002,2025-11-07,6700,Security Expense,OpEx,-2014,Security — 2025-11
T-50210,P002,2025-11-28,6500,Management Fee Expense,OpEx,-9341,Management Fees — 2025-11
T-50211,P002,2025-12-07,4100,Base Rent Income,Revenue,212888,Base Rent Income — 2025-12
T-50212,P002,2025-12-15,4200,CAM Recovery Income,Revenue,36408,CAM Recovery Income — 2025-12
T-50213,P002,2025-12-15,4300,Other Income,Revenue,5873,Other Income — 2025-12
T-50214,P002,2025-12-18,6800,Admin Expense,OpEx,-1243,Administrative — 2025-12
T-50215,P002,2025-12-22,6800,Admin Expense,OpEx,-3712,Administrative — 2025-12
T-50216,P002,2025-12-02,6200,Utilities Expense,OpEx,-653,Utilities — 2025-12
T-50217,P002,2025-12-15,6600,Landscaping Expense,OpEx,-2365,Landscaping — 2025-12
T-50218,P002,2025-12-13,6600,Landscaping Expense,OpEx,-5994,Landscaping — 2025-12
T-50219,P002,2025-12-22,6600,Landscaping Expense,OpEx,-9404,Landscaping — 2025-12
T-50220,P002,2025-12-18,6500,Management Fee Expense,OpEx,-4171,Management Fees — 2025-12
T-50221,P002,2025-12-21,6100,Repairs & Maintenance Expense,OpEx,-8286,Repairs & Maintenance — 2025-12
T-50222,P002,2025-12-23,6800,Admin Expense,OpEx,-4806,Administrative — 2025-12
T-50223,P002,2025-12-19,6800,Admin Expense,OpEx,-3438,Administrative — 2025-12
T-50224,P002,2026-01-11,4100,Base Rent Income,Revenue,220311,Base Rent Income — 2026-01
T-50225,P002,2026-01-21,4200,CAM Recovery Income,Revenue,37575,CAM Recovery Income — 2026-01
T-50226,P002,2026-01-27,4300,Other Income,Revenue,2738,Other Income — 2026-01
T-50227,P002,2026-01-01,6600,Landscaping Expense,OpEx,-6265,Landscaping — 2026-01
T-50228,P002,2026-01-19,6300,Insurance Expense,OpEx,-2466,Insurance — 2026-01
T-50229,P002,2026-01-07,6300,Insurance Expense,OpEx,-9280,Insurance — 2026-01
T-50230,P002,2026-01-07,6700,Security Expense,OpEx,-9586,Security — 2026-01
T-50231,P002,2026-01-20,6200,Utilities Expense,OpEx,-7993,Utilities — 2026-01
T-50232,P002,2026-01-13,6200,Utilities Expense,OpEx,-11144,Utilities — 2026-01
T-50233,P002,2026-01-14,6500,Management Fee Expense,OpEx,-7838,Management Fees — 2026-01
T-50234,P002,2026-01-02,6500,Management Fee Expense,OpEx,-7150,Management Fees — 2026-01
T-50235,P002,2026-01-10,6500,Management Fee Expense,OpEx,-4612,Management Fees — 2026-01
T-50236,P002,2026-02-22,4100,Base Rent Income,Revenue,210329,Base Rent Income — 2026-02
T-50237,P002,2026-02-06,4200,CAM Recovery Income,Revenue,32507,CAM Recovery Income — 2026-02
T-50238,P002,2026-02-14,4300,Other Income,Revenue,3081,Other Income — 2026-02
T-50239,P002,2026-02-08,6100,Repairs & Maintenance Expense,OpEx,-7128,Repairs & Maintenance — 2026-02
T-50240,P002,2026-02-23,6400,Property Tax Expense,OpEx,-6168,Property Taxes — 2026-02
T-50241,P002,2026-02-02,6100,Repairs & Maintenance Expense,OpEx,-8286,Repairs & Maintenance — 2026-02
T-50242,P002,2026-02-23,6300,Insurance Expense,OpEx,-7244,Insurance — 2026-02
T-50243,P002,2026-02-18,6200,Utilities Expense,OpEx,-5065,Utilities — 2026-02
T-50244,P002,2026-02-23,6800,Admin Expense,OpEx,-4765,Administrative — 2026-02
T-50245,P002,2026-02-04,6500,Management Fee Expense,OpEx,-8334,Management Fees — 2026-02
T-50246,P002,2026-02-11,6100,Repairs & Maintenance Expense,OpEx,-5717,Repairs & Maintenance — 2026-02
T-50247,P002,2026-02-18,6800,Admin Expense,OpEx,-7580,Administrative — 2026-02
T-50248,P002,2026-02-02,6100,Repairs & Maintenance Expense,OpEx,-3189,Repairs & Maintenance — 2026-02
T-50249,P002,2026-02-17,6500,Management Fee Expense,OpEx,-5789,Management Fees — 2026-02
T-50250,P002,2026-03-10,4100,Base Rent Income,Revenue,212408,Base Rent Income — 2026-03
T-50251,P002,2026-03-23,4200,CAM Recovery Income,Revenue,38298,CAM Recovery Income — 2026-03
T-50252,P002,2026-03-23,4300,Other Income,Revenue,6458,Other Income — 2026-03
T-50253,P002,2026-03-23,6600,Landscaping Expense,OpEx,-4853,Landscaping — 2026-03
T-50254,P002,2026-03-22,6600,Landscaping Expense,OpEx,-5465,Landscaping — 2026-03
T-50255,P002,2026-03-13,6500,Management Fee Expense,OpEx,-8345,Management Fees — 2026-03
T-50256,P002,2026-03-17,6400,Property Tax Expense,OpEx,-3196,Property Taxes — 2026-03
T-50257,P002,2026-03-10,6500,Management Fee Expense,OpEx,-4569,Management Fees — 2026-03
T-50258,P002,2026-03-13,6400,Property Tax Expense,OpEx,-3730,Property Taxes — 2026-03
T-50259,P002,2026-03-27,6400,Property Tax Expense,OpEx,-1379,Property Taxes — 2026-03
T-50260,P002,2026-03-01,6500,Management Fee Expense,OpEx,-5248,Management Fees — 2026-03
T-50261,P002,2026-03-20,6700,Security Expense,OpEx,-4136,Security — 2026-03
T-50262,P002,2026-03-19,6800,Admin Expense,OpEx,-7093,Administrative — 2026-03
T-50263,P002,2026-04-17,4100,Base Rent Income,Revenue,209035,Base Rent Income — 2026-04
T-50264,P002,2026-04-09,4200,CAM Recovery Income,Revenue,33918,CAM Recovery Income — 2026-04
T-50265,P002,2026-04-14,4300,Other Income,Revenue,3999,Other Income — 2026-04
T-50266,P002,2026-04-11,6800,Admin Expense,OpEx,-896,Administrative — 2026-04
T-50267,P002,2026-04-18,6700,Security Expense,OpEx,-6997,Security — 2026-04
T-50268,P002,2026-04-26,6500,Management Fee Expense,OpEx,-6863,Management Fees — 2026-04
T-50269,P002,2026-04-19,6300,Insurance Expense,OpEx,-8764,Insurance — 2026-04
T-50270,P002,2026-04-14,6400,Property Tax Expense,OpEx,-5020,Property Taxes — 2026-04
T-50271,P002,2026-04-09,6300,Insurance Expense,OpEx,-7025,Insurance — 2026-04
T-50272,P002,2026-04-18,6700,Security Expense,OpEx,-607,Security — 2026-04
T-50273,P002,2026-04-06,6200,Utilities Expense,OpEx,-4734,Utilities — 2026-04
T-50274,P002,2026-04-23,6100,Repairs & Maintenance Expense,OpEx,-892,Repairs & Maintenance — 2026-04
T-50275,P002,2026-04-26,6800,Admin Expense,OpEx,-1848,Administrative — 2026-04
T-50276,P003,2025-05-15,4100,Base Rent Income,Revenue,586204,Base Rent Income — 2025-05
T-50277,P003,2025-05-24,4200,CAM Recovery Income,Revenue,93510,CAM Recovery Income — 2025-05
T-50278,P003,2025-05-14,4300,Other Income,Revenue,6752,Other Income — 2025-05
T-50279,P003,2025-05-10,6200,Utilities Expense,OpEx,-6734,Utilities — 2025-05
T-50280,P003,2025-05-09,6800,Admin Expense,OpEx,-6213,Administrative — 2025-05
T-50281,P003,2025-05-03,6500,Management Fee Expense,OpEx,-10048,Management Fees — 2025-05
T-50282,P003,2025-05-21,6400,Property Tax Expense,OpEx,-8274,Property Taxes — 2025-05
T-50283,P003,2025-05-22,6800,Admin Expense,OpEx,-4456,Administrative — 2025-05
T-50284,P003,2025-05-19,6300,Insurance Expense,OpEx,-8098,Insurance — 2025-05
T-50285,P003,2025-05-03,6400,Property Tax Expense,OpEx,-4029,Property Taxes — 2025-05
T-50286,P003,2025-05-11,6500,Management Fee Expense,OpEx,-6185,Management Fees — 2025-05
T-50287,P003,2025-05-15,6200,Utilities Expense,OpEx,-2594,Utilities — 2025-05
T-50288,P003,2025-05-23,6800,Admin Expense,OpEx,-4184,Administrative — 2025-05
T-50289,P003,2025-05-13,6800,Admin Expense,OpEx,-1578,Administrative — 2025-05
T-50290,P003,2025-06-14,4100,Base Rent Income,Revenue,567998,Base Rent Income — 2025-06
T-50291,P003,2025-06-09,4200,CAM Recovery Income,Revenue,86762,CAM Recovery Income — 2025-06
T-50292,P003,2025-06-10,4300,Other Income,Revenue,3536,Other Income — 2025-06
